tracer_type,x_kpc,y_kpc,z_kpc,distance_basis,source_record
hii_region,2.36244,2.55692,0.00650,photometric_or_trigonometric,tablea1.dat:786
hii_region,4.75912,-3.06368,-0.00215,kinematic,tablea1.dat:790
hii_region,2.40239,2.57376,-0.05257,photometric_or_trigonometric,tablea1.dat:797
hii_region,4.22419,-1.75878,-0.07293,kinematic,tablea1.dat:800
hii_region,4.04173,-1.31490,-0.05461,kinematic,tablea1.dat:801
hii_region,0.66119,6.73398,0.01988,photometric_or_trigonometric,tablea1.dat:802
hii_region,4.10933,-1.40592,0.00809,kinematic,tablea1.dat:805
hii_region,0.97468,5.99787,-0.01374,photometric_or_trigonometric,tablea1.dat:806
hii_region,0.97609,5.99848,-0.01553,photometric_or_trigonometric,tablea1.dat:808
hii_region,3.84867,-0.76691,0.03765,kinematic,tablea1.dat:812
hii_region,1.79555,4.07590,-0.03244,photometric_or_trigonometric,tablea1.dat:813
hii_region,1.90806,3.81946,-0.03119,kinematic,tablea1.dat:814
hii_region,2.43360,2.58677,-0.02688,photometric_or_trigonometric,tablea1.dat:815
hii_region,0.66735,6.73655,0.01650,photometric_or_trigonometric,tablea1.dat:816
hii_region,5.21973,-3.87854,-0.00000,kinematic,tablea1.dat:820
hii_region,1.96183,3.72271,-0.00000,kinematic,tablea1.dat:821
hii_region,2.45173,2.59454,-0.02905,photometric_or_trigonometric,tablea1.dat:824
hii_region,4.18373,-1.42853,0.01479,kinematic,tablea1.dat:830
hii_region,2.32399,2.89884,0.03058,photometric_or_trigonometric,tablea1.dat:832
hii_region,2.33719,2.90450,-0.02196,photometric_or_trigonometric,tablea1.dat:836
hii_region,4.10400,-1.15797,0.01224,kinematic,tablea1.dat:844
hii_region,2.16553,3.30963,-0.01700,kinematic,tablea1.dat:845
hii_region,2.34822,2.90924,-0.00421,photometric_or_trigonometric,tablea1.dat:850
hii_region,1.16317,5.63379,0.08044,kinematic,tablea1.dat:853
hii_region,2.17659,3.31442,0.00275,kinematic,tablea1.dat:854
hii_region,2.35522,2.91244,-0.03859,photometric_or_trigonometric,tablea1.dat:858
hii_region,4.41453,-1.77520,-0.04838,kinematic,tablea1.dat:859
hii_region,2.36401,2.91618,0.01755,photometric_or_trigonometric,tablea1.dat:860
hii_region,2.49668,2.61403,-0.02189,photometric_or_trigonometric,tablea1.dat:866
hii_region,2.37442,2.92078,0.02299,photometric_or_trigonometric,tablea1.dat:873
hii_region,2.51285,2.62113,-0.01290,photometric_or_trigonometric,tablea1.dat:879
hii_region,2.38308,2.92456,0.00677,photometric_or_trigonometric,tablea1.dat:883
hii_region,5.09443,-3.19136,0.01448,kinematic,tablea1.dat:884
hii_region,2.52147,2.62496,0.01647,photometric_or_trigonometric,tablea1.dat:885
hii_region,4.30700,-1.37458,-0.01830,kinematic,tablea1.dat:890
hii_region,4.14973,-0.96294,-0.01187,kinematic,tablea1.dat:891
hii_region,3.70452,0.03200,0.01929,kinematic,tablea1.dat:892
hii_region,2.22464,3.33583,0.04054,kinematic,tablea1.dat:893
hii_region,3.75400,-0.05536,0.03245,kinematic,tablea1.dat:894
hii_region,4.17987,-0.99326,-0.00943,kinematic,tablea1.dat:897
hii_region,4.69591,-2.09883,-0.03007,kinematic,tablea1.dat:899
hii_region,2.17716,3.47881,-0.01394,kinematic,tablea1.dat:900
hii_region,3.78287,-0.04238,0.01151,kinematic,tablea1.dat:901
hii_region,4.69284,-2.04531,-0.03767,kinematic,tablea1.dat:903
hii_region,3.99976,-0.49294,-0.04148,kinematic,tablea1.dat:908
hii_region,3.95103,-0.38299,0.08142,kinematic,tablea1.dat:909
hii_region,3.69263,0.19127,0.03281,kinematic,tablea1.dat:917
hii_region,3.83621,-0.11701,-0.00630,kinematic,tablea1.dat:923
hii_region,1.21136,5.64314,-0.01121,kinematic,tablea1.dat:925
hii_region,2.22418,3.42331,-0.02180,kinematic,tablea1.dat:927
hii_region,0.91336,6.29859,-0.01075,photometric_or_trigonometric,tablea1.dat:931
hii_region,3.83392,-0.07401,-0.03215,kinematic,tablea1.dat:935
hii_region,3.79091,0.04926,-0.02536,kinematic,tablea1.dat:936
hii_region,1.31945,5.42866,-0.00882,kinematic,tablea1.dat:942
hii_region,2.50254,2.86883,0.00866,kinematic,tablea1.dat:948
hii_region,0.92105,6.30210,-0.00768,photometric_or_trigonometric,tablea1.dat:949
hii_region,0.92105,6.30210,-0.00768,photometric_or_trigonometric,tablea1.dat:951
hii_region,3.80494,0.05592,-0.06339,kinematic,tablea1.dat:954
hii_region,3.84290,-0.01489,0.01567,kinematic,tablea1.dat:956
hii_region,3.94152,-0.18935,0.07041,kinematic,tablea1.dat:961
hii_region,1.42430,5.26786,0.00403,kinematic,tablea1.dat:972
hii_region,1.13951,5.88542,-0.01477,photometric_or_trigonometric,tablea1.dat:976
hii_region,0.93997,6.31095,0.01179,photometric_or_trigonometric,tablea1.dat:978
hii_region,1.14449,5.88775,-0.00825,photometric_or_trigonometric,tablea1.dat:984
hii_region,1.14465,5.88786,-0.01617,photometric_or_trigonometric,tablea1.dat:993
hii_region,6.76760,-5.95510,0.00936,kinematic,tablea1.dat:994
hii_region,5.83259,-3.98507,0.13340,kinematic,tablea1.dat:997
hii_region,2.33769,3.37684,-0.01332,kinematic,tablea1.dat:1000
hii_region,4.13645,-0.40742,0.01767,kinematic,tablea1.dat:1001
hii_region,1.14546,5.88822,-0.01184,photometric_or_trigonometric,tablea1.dat:1002
hii_region,3.74424,0.43592,-0.03192,kinematic,tablea1.dat:1004
hii_region,6.96841,-6.32468,0.01131,kinematic,tablea1.dat:1011
hii_region,1.29393,5.60504,0.05500,kinematic,tablea1.dat:1012
hii_region,1.15787,5.89412,0.00144,photometric_or_trigonometric,tablea1.dat:1014
hii_region,4.05471,-0.12507,0.00506,kinematic,tablea1.dat:1017
hii_region,2.61251,2.88757,0.02213,kinematic,tablea1.dat:1018
hii_region,3.68071,0.68268,-0.02067,kinematic,tablea1.dat:1023
hii_region,3.88658,0.26022,0.03741,kinematic,tablea1.dat:1024
hii_region,4.03382,0.00926,0.02011,kinematic,tablea1.dat:1026
hii_region,5.49102,-2.90709,-0.01503,kinematic,tablea1.dat:1027
hii_region,2.51232,3.17240,-0.00688,kinematic,tablea1.dat:1029
hii_region,4.12049,-0.02620,-0.01151,kinematic,tablea1.dat:1034
hii_region,1.33257,5.61321,0.07356,kinematic,tablea1.dat:1035
hii_region,1.33427,5.61449,0.08821,kinematic,tablea1.dat:1036
hii_region,2.25233,3.76926,0.05422,kinematic,tablea1.dat:1037
hii_region,1.02391,6.24167,0.06996,photometric_or_trigonometric,tablea1.dat:1038
hii_region,4.14930,-0.03423,0.00292,kinematic,tablea1.dat:1041
hii_region,2.56650,3.15464,0.02810,kinematic,tablea1.dat:1042
hii_region,4.37367,-0.45843,0.07108,kinematic,tablea1.dat:1044
hii_region,4.07263,0.15117,-0.04849,kinematic,tablea1.dat:1049
hii_region,4.10999,0.09146,0.01490,kinematic,tablea1.dat:1050
hii_region,4.74624,-1.17802,-0.01961,kinematic,tablea1.dat:1051
hii_region,5.79400,-3.27036,-0.00452,kinematic,tablea1.dat:1052
hii_region,4.75072,-1.18698,-0.00370,kinematic,tablea1.dat:1054
hii_region,8.50137,-8.66945,-0.07023,kinematic,tablea1.dat:1056
hii_region,2.70861,2.90139,0.00211,kinematic,tablea1.dat:1059
hii_region,4.58232,-0.70068,-0.01163,kinematic,tablea1.dat:1071
hii_region,2.33950,3.73451,0.00000,kinematic,tablea1.dat:1073
hii_region,5.76661,-2.92543,-0.01762,kinematic,tablea1.dat:1077
