name,x_kpc,y_kpc,z_kpc,parallax_mas,parallax_error_mas,arm,source_record
G059.83+00.67,3.57233,6.22360,0.04847,0.242,0.014,LoS,table1.dat:128
G060.57-00.18,7.19834,4.23989,-0.02692,0.121,0.015,Per,table1.dat:129
G069.54-00.97,2.30734,7.43916,-0.04194,0.406,0.013,Loc,table1.dat:130
G070.18+01.74,6.02779,6.12762,0.19467,0.156,0.016,Per,table1.dat:131
G071.31+00.82,4.44686,6.79592,0.06792,0.213,0.028,Loc,table1.dat:132
G071.52-00.38,3.42391,7.15584,-0.02427,0.277,0.026,Loc,table1.dat:133
G073.65+00.19,12.79424,4.54724,0.04520,0.075,0.020,Out,table1.dat:134
G074.03-01.71,1.52782,7.86289,-0.04755,0.629,0.017,Loc,table1.dat:135
G074.56+00.84,2.62629,7.57510,0.04022,0.367,0.083,Loc,table1.dat:136
G075.29+01.32,8.95365,5.95049,0.21392,0.108,0.010,Out,table1.dat:137
G075.76+00.33,3.40092,7.43697,0.02081,0.285,0.022,Loc,table1.dat:138
G075.78+00.34,3.71399,7.35898,0.02292,0.261,0.030,Loc,table1.dat:139
G076.38-00.61,1.26211,7.99422,-0.01400,0.770,0.053,Loc,table1.dat:140
G078.12+03.63,1.51414,7.98154,0.09823,0.645,0.030,Loc,table1.dat:141
G078.88+00.70,3.27058,7.65755,0.04124,0.300,0.024,Loc,table1.dat:142
G079.73+00.99,1.33494,8.05826,0.02345,0.737,0.062,Loc,table1.dat:143
G079.87+01.17,1.58746,8.01657,0.03313,0.620,0.027,Loc,table1.dat:144
G080.79-01.92,1.59125,8.04223,-0.05407,0.620,0.047,Loc,table1.dat:145
G080.86+00.38,1.43710,8.06882,0.00974,0.687,0.038,Loc,table1.dat:146
G081.75+00.59,1.48589,8.08462,0.01548,0.666,0.035,Loc,table1.dat:147
G081.87+00.78,1.28220,8.11686,0.01765,0.772,0.042,Loc,table1.dat:148
G090.21+02.32,0.67375,8.30247,0.02735,1.483,0.038,Loc,table1.dat:149
G090.92+01.48,5.84523,8.39402,0.15172,0.171,0.031,Out,table1.dat:150
G092.67+03.07,1.62721,8.37591,0.08740,0.613,0.020,Loc,table1.dat:151
G094.60-01.79,4.50808,8.66291,-0.14182,0.221,0.013,Per,table1.dat:152
G095.29-00.93,4.83300,8.74804,-0.07938,0.206,0.015,Per,table1.dat:153
G097.53+03.18,7.44244,9.28386,0.41758,0.133,0.017,Out,table1.dat:154
G098.03+01.44,2.70455,8.68183,0.06895,0.366,0.161,Per,table1.dat:155
G100.37-03.57,3.39697,8.92211,-0.21597,0.289,0.016,Per,table1.dat:156
G105.41+09.87,0.84122,8.53195,0.15195,1.129,0.063,Loc,table1.dat:157
G107.29+05.63,0.73769,8.52974,0.07630,1.288,0.107,Loc,table1.dat:158
G108.18+05.51,0.86598,8.58446,0.08807,1.092,0.018,Loc,table1.dat:159
G108.20+00.58,4.18450,9.67641,0.04525,0.227,0.037,Per,table1.dat:160
G108.42+00.89,2.37155,9.09008,0.03900,0.400,0.050,Per,table1.dat:161
G108.47-02.81,3.06581,9.32410,-0.15912,0.309,0.010,Per,table1.dat:162
G108.59+00.49,2.34016,9.08731,0.02119,0.405,0.033,Per,table1.dat:163
G109.87+02.11,0.76533,8.57661,0.03004,1.228,0.024,Loc,table1.dat:164
G110.19+02.47,2.98612,9.39845,0.13759,0.314,0.070,Per,table1.dat:165
G111.23-01.23,3.10628,9.50703,-0.07203,0.300,0.081,Per,table1.dat:166
G111.25-00.76,3.32817,9.59463,-0.04798,0.280,0.015,Per,table1.dat:167
G111.54+00.77,2.46048,9.27130,0.03587,0.378,0.017,Per,table1.dat:168
G115.05-00.04,2.54460,9.48971,-0.00234,0.356,0.040,Per,table1.dat:169
G121.29+00.65,0.79334,8.78231,0.01067,1.077,0.039,Loc,table1.dat:170
G122.01-07.08,1.82920,9.44373,-0.26796,0.460,0.020,Per,table1.dat:171
G123.06-06.30,2.34637,9.82765,-0.30948,0.355,0.030,Per,table1.dat:172
G123.06-06.30,1.97855,9.58811,-0.26104,0.421,0.022,Per,table1.dat:173
G133.94+01.06,1.40597,9.65523,0.03628,0.512,0.010,Per,table1.dat:174
G134.62-02.19,1.72216,9.99950,-0.09274,0.413,0.017,Per,table1.dat:175
G135.27+02.79,4.20860,12.54955,0.29227,0.167,0.011,Out,table1.dat:176
G136.84+01.16,1.45496,9.85182,0.04335,0.470,0.115,Per,table1.dat:177
G160.14+03.15,1.38979,12.14891,0.22568,0.244,0.006,Out,table1.dat:178
G168.06+00.82,1.10600,13.53141,0.07670,0.187,0.022,Out,table1.dat:179
G170.65-00.24,0.30506,10.15476,-0.00811,0.532,0.075,Per,table1.dat:180
G173.48+02.44,0.19094,9.97109,0.07185,0.594,0.014,Per,table1.dat:181
G174.20-00.07,0.21637,10.43037,-0.00264,0.467,0.020,Per,table1.dat:182
G176.51+00.20,0.05855,9.26160,0.00338,1.038,0.021,Loc,table1.dat:183
G182.67-03.26,-0.29712,14.65214,-0.36281,0.157,0.042,Out,table1.dat:184
G183.72-03.66,-0.10294,9.88323,-0.10161,0.629,0.012,Per,table1.dat:185
G188.79+01.03,-0.30817,10.29211,0.03627,0.496,0.103,Per,table1.dat:186
G188.94+00.88,-0.32665,10.37504,0.03248,0.476,0.006,Per,table1.dat:187
G192.16-03.81,-0.31847,9.77787,-0.10085,0.660,0.040,Per,table1.dat:188
G192.60-00.04,-0.36297,9.92382,-0.00139,0.601,0.039,Per,table1.dat:189
G196.45-01.67,-1.17000,12.26129,-0.12080,0.242,0.011,Out,table1.dat:190
G209.00-19.38,-0.18894,8.64076,-0.13710,2.421,0.019,Loc,table1.dat:191
G211.59+01.05,-2.19159,11.86338,0.07710,0.239,0.010,Out,table1.dat:192
G213.70-12.59,-0.47174,9.00721,-0.18997,1.148,0.030,Loc,table1.dat:193
G217.79+01.05,-3.75931,13.14693,0.11266,0.163,0.016,Out,table1.dat:194
G229.57+00.15,-3.49178,11.27478,0.01210,0.218,0.012,Per,table1.dat:195
G232.62+00.99,-1.33307,9.31846,0.02916,0.596,0.035,Loc,table1.dat:196
G236.81+01.98,-2.56569,9.97793,0.10617,0.326,0.026,Per,table1.dat:197
G239.35-05.06,-1.00229,8.89388,-0.10327,0.855,0.057,Loc,table1.dat:198
G240.31+00.07,-4.64580,10.94825,0.00665,0.187,0.014,Per,table1.dat:199
